"","location","recv","TagCode","day","count","beacon","recv_start"
"75","BeniciaRT_01",17128,"FA2A",2018-07-09,1090,"FA2A",2018-04-25 16:54:23
"76","BeniciaRT_01",17128,"FA2A",2018-07-10,1326,"FA2A",2018-04-25 16:54:23
"77","BeniciaRT_01",17128,"FA2A",2018-07-11,1327,"FA2A",2018-04-25 16:54:23
"78","BeniciaRT_01",17128,"FA2A",2018-07-12,1328,"FA2A",2018-04-25 16:54:23
"79","BeniciaRT_01",17128,"FA2A",2018-07-13,1327,"FA2A",2018-04-25 16:54:23
"80","BeniciaRT_01",17128,"FA2A",2018-07-14,1320,"FA2A",2018-04-25 16:54:23
"81","BeniciaRT_01",17128,"FA2A",2018-07-15,1322,"FA2A",2018-04-25 16:54:23
"82","BeniciaRT_01",17128,"FA2A",2018-07-16,601,"FA2A",2018-04-25 16:54:23
"83","BeniciaRT_01",17128,"FA2A",2018-07-18,461,"FA2A",2018-04-25 16:54:23
"84","BeniciaRT_01",17128,"FA2A",2018-07-19,394,"FA2A",2018-04-25 16:54:23
"85","BeniciaRT_01",17128,"FA2A",2018-07-24,761,"FA2A",2018-04-25 16:54:23
"86","BeniciaRT_01",17128,"FA2A",2018-07-25,1341,"FA2A",2018-04-25 16:54:23
"87","BeniciaRT_01",17128,"FA2A",2018-07-26,1304,"FA2A",2018-04-25 16:54:23
"88","BeniciaRT_01",17128,"FA2A",2018-07-27,1330,"FA2A",2018-04-25 16:54:23
"89","BeniciaRT_01",17128,"FA2A",2018-07-28,1329,"FA2A",2018-04-25 16:54:23
"90","BeniciaRT_01",17128,"FA2A",2018-07-29,1321,"FA2A",2018-04-25 16:54:23
"91","BeniciaRT_01",17128,"FA2A",2018-07-30,1316,"FA2A",2018-04-25 16:54:23
"92","BeniciaRT_01",17128,"FA2A",2018-07-31,1322,"FA2A",2018-04-25 16:54:23
"93","BeniciaRT_01",17128,"FA2A",2018-08-01,1326,"FA2A",2018-04-25 16:54:23
"94","BeniciaRT_01",17128,"FA2A",2018-08-02,1320,"FA2A",2018-04-25 16:54:23
"95","BeniciaRT_01",17128,"FA2A",2018-08-03,1328,"FA2A",2018-04-25 16:54:23
"96","BeniciaRT_01",17128,"FA2A",2018-08-04,1323,"FA2A",2018-04-25 16:54:23
"97","BeniciaRT_01",17128,"FA2A",2018-08-05,1318,"FA2A",2018-04-25 16:54:23
"98","BeniciaRT_01",17128,"FA2A",2018-08-06,1337,"FA2A",2018-04-25 16:54:23
"99","BeniciaRT_01",17128,"FA2A",2018-08-07,1325,"FA2A",2018-04-25 16:54:23
"100","BeniciaRT_01",17128,"FA2A",2018-08-08,1319,"FA2A",2018-04-25 16:54:23
"101","BeniciaRT_01",17128,"FA2A",2018-08-09,1318,"FA2A",2018-04-25 16:54:23
"102","BeniciaRT_01",17128,"FA2A",2018-08-10,1328,"FA2A",2018-04-25 16:54:23
"103","BeniciaRT_01",17128,"FA2A",2018-08-11,1324,"FA2A",2018-04-25 16:54:23
"104","BeniciaRT_01",17128,"FA2A",2018-08-12,1317,"FA2A",2018-04-25 16:54:23
"105","BeniciaRT_01",17128,"FA2A",2018-08-13,1344,"FA2A",2018-04-25 16:54:23
"106","BeniciaRT_01",17128,"FA2A",2018-08-14,1325,"FA2A",2018-04-25 16:54:23
"107","BeniciaRT_01",17128,"FA2A",2018-08-15,1320,"FA2A",2018-04-25 16:54:23
"108","BeniciaRT_01",17128,"FA2A",2018-08-16,1311,"FA2A",2018-04-25 16:54:23
"109","BeniciaRT_01",17128,"FA2A",2018-08-17,1325,"FA2A",2018-04-25 16:54:23
"110","BeniciaRT_01",17128,"FA2A",2018-08-18,1323,"FA2A",2018-04-25 16:54:23
"111","BeniciaRT_01",17128,"FA2A",2018-08-19,1322,"FA2A",2018-04-25 16:54:23
"112","BeniciaRT_01",17128,"FA2A",2018-08-20,1330,"FA2A",2018-04-25 16:54:23
"113","BeniciaRT_01",17128,"FA2A",2018-08-21,1331,"FA2A",2018-04-25 16:54:23
"114","BeniciaRT_01",17128,"FA2A",2018-08-22,1321,"FA2A",2018-04-25 16:54:23
"115","BeniciaRT_01",17128,"FA2A",2018-08-23,1327,"FA2A",2018-04-25 16:54:23
"116","BeniciaRT_01",17128,"FA2A",2018-08-24,1323,"FA2A",2018-04-25 16:54:23
"117","BeniciaRT_01",17128,"FA2A",2018-08-25,1322,"FA2A",2018-04-25 16:54:23
"118","BeniciaRT_01",17128,"FA2A",2018-08-26,1310,"FA2A",2018-04-25 16:54:23
"119","BeniciaRT_01",17128,"FA2A",2018-08-27,1317,"FA2A",2018-04-25 16:54:23
"120","BeniciaRT_01",17128,"FA2A",2018-08-28,1331,"FA2A",2018-04-25 16:54:23
"121","BeniciaRT_01",17128,"FA2A",2018-08-29,1327,"FA2A",2018-04-25 16:54:23
"122","BeniciaRT_01",17128,"FA2A",2018-08-30,1320,"FA2A",2018-04-25 16:54:23
"123","BeniciaRT_01",17128,"FA2A",2018-08-31,1352,"FA2A",2018-04-25 16:54:23
"124","BeniciaRT_01",17128,"FA2A",2018-09-01,112,"FA2A",2018-04-25 16:54:23
"125","BeniciaRT_02 ",18008,"FAA2",2018-04-25,417,"FAA2",2018-04-24 17:08:04
"126","BeniciaRT_02 ",18008,"FAA2",2018-04-26,1420,"FAA2",2018-04-24 17:08:04
"127","BeniciaRT_02 ",18008,"FAA2",2018-04-27,1432,"FAA2",2018-04-24 17:08:04
"128","BeniciaRT_02 ",18008,"FAA2",2018-04-28,1428,"FAA2",2018-04-24 17:08:04
"129","BeniciaRT_02 ",18008,"FAA2",2018-04-29,1427,"FAA2",2018-04-24 17:08:04
"130","BeniciaRT_02 ",18008,"FAA2",2018-04-30,1431,"FAA2",2018-04-24 17:08:04
"131","BeniciaRT_02 ",18008,"FAA2",2018-05-01,1413,"FAA2",2018-04-24 17:08:04
"132","BeniciaRT_02 ",18008,"FAA2",2018-05-02,1423,"FAA2",2018-04-24 17:08:04
"133","BeniciaRT_02 ",18008,"FAA2",2018-05-03,1355,"FAA2",2018-04-24 17:08:04
"134","BeniciaRT_02 ",18008,"FAA2",2018-05-04,1365,"FAA2",2018-04-24 17:08:04
"135","BeniciaRT_02 ",18008,"FAA2",2018-05-05,1401,"FAA2",2018-04-24 17:08:04
"136","BeniciaRT_02 ",18008,"FAA2",2018-05-06,1393,"FAA2",2018-04-24 17:08:04
"137","BeniciaRT_02 ",18008,"FAA2",2018-05-07,1414,"FAA2",2018-04-24 17:08:04
"138","BeniciaRT_02 ",18008,"FAA2",2018-05-08,1419,"FAA2",2018-04-24 17:08:04
"139","BeniciaRT_02 ",18008,"FAA2",2018-05-09,1431,"FAA2",2018-04-24 17:08:04
"140","BeniciaRT_02 ",18008,"FAA2",2018-05-10,1428,"FAA2",2018-04-24 17:08:04
"141","BeniciaRT_02 ",18008,"FAA2",2018-05-11,1342,"FAA2",2018-04-24 17:08:04
"142","BeniciaRT_02 ",18008,"FAA2",2018-05-12,1346,"FAA2",2018-04-24 17:08:04
"143","BeniciaRT_02 ",18008,"FAA2",2018-05-13,1342,"FAA2",2018-04-24 17:08:04
"144","BeniciaRT_02 ",18008,"FAA2",2018-05-14,1369,"FAA2",2018-04-24 17:08:04
"145","BeniciaRT_02 ",18008,"FAA2",2018-05-15,1372,"FAA2",2018-04-24 17:08:04
"146","BeniciaRT_02 ",18008,"FAA2",2018-05-16,1385,"FAA2",2018-04-24 17:08:04
"147","BeniciaRT_02 ",18008,"FAA2",2018-05-17,1374,"FAA2",2018-04-24 17:08:04
"148","BeniciaRT_02 ",18008,"FAA2",2018-05-18,1389,"FAA2",2018-04-24 17:08:04
"149","BeniciaRT_02 ",18008,"FAA2",2018-05-19,1376,"FAA2",2018-04-24 17:08:04
"150","BeniciaRT_02 ",18008,"FAA2",2018-05-20,1403,"FAA2",2018-04-24 17:08:04
"151","BeniciaRT_02 ",18008,"FAA2",2018-05-21,1389,"FAA2",2018-04-24 17:08:04
"152","BeniciaRT_02 ",18008,"FAA2",2018-05-22,1377,"FAA2",2018-04-24 17:08:04
"153","BeniciaRT_02 ",18008,"FAA2",2018-05-23,1384,"FAA2",2018-04-24 17:08:04
"154","BeniciaRT_02 ",18008,"FAA2",2018-05-24,1375,"FAA2",2018-04-24 17:08:04
"155","BeniciaRT_02 ",18008,"FAA2",2018-05-25,1366,"FAA2",2018-04-24 17:08:04
"156","BeniciaRT_02 ",18008,"FAA2",2018-05-26,1380,"FAA2",2018-04-24 17:08:04
"157","BeniciaRT_02 ",18008,"FAA2",2018-05-27,1394,"FAA2",2018-04-24 17:08:04
"158","BeniciaRT_02 ",18008,"FAA2",2018-05-28,1392,"FAA2",2018-04-24 17:08:04
"159","BeniciaRT_02 ",18008,"FAA2",2018-05-29,1330,"FAA2",2018-04-24 17:08:04
"160","BeniciaRT_02 ",18008,"FAA2",2018-05-30,1353,"FAA2",2018-04-24 17:08:04
"161","BeniciaRT_02 ",18008,"FAA2",2018-05-31,1378,"FAA2",2018-04-24 17:08:04
"162","BeniciaRT_02 ",18008,"FAA2",2018-06-01,1401,"FAA2",2018-04-24 17:08:04
"163","BeniciaRT_02 ",18008,"FAA2",2018-06-02,1405,"FAA2",2018-04-24 17:08:04
"164","BeniciaRT_02 ",18008,"FAA2",2018-06-03,1433,"FAA2",2018-04-24 17:08:04
"165","BeniciaRT_02 ",18008,"FAA2",2018-06-04,1381,"FAA2",2018-04-24 17:08:04
"166","BeniciaRT_02 ",18008,"FAA2",2018-06-05,1430,"FAA2",2018-04-24 17:08:04
"167","BeniciaRT_02 ",18008,"FAA2",2018-06-06,1380,"FAA2",2018-04-24 17:08:04
"168","BeniciaRT_02 ",18008,"FAA2",2018-06-07,1376,"FAA2",2018-04-24 17:08:04
"169","BeniciaRT_02 ",18008,"FAA2",2018-06-08,1400,"FAA2",2018-04-24 17:08:04
"170","BeniciaRT_02 ",18008,"FAA2",2018-06-09,1361,"FAA2",2018-04-24 17:08:04
"171","BeniciaRT_02 ",18008,"FAA2",2018-06-10,1425,"FAA2",2018-04-24 17:08:04
"172","BeniciaRT_02 ",18008,"FAA2",2018-06-11,1400,"FAA2",2018-04-24 17:08:04
"173","BeniciaRT_02 ",18008,"FAA2",2018-06-12,1384,"FAA2",2018-04-24 17:08:04
"174","BeniciaRT_02 ",18008,"FAA2",2018-06-13,1378,"FAA2",2018-04-24 17:08:04
"175","BeniciaRT_02 ",18008,"FAA2",2018-06-14,1387,"FAA2",2018-04-24 17:08:04
"176","BeniciaRT_02 ",18008,"FAA2",2018-06-15,1364,"FAA2",2018-04-24 17:08:04
"177","BeniciaRT_02 ",18008,"FAA2",2018-06-16,1348,"FAA2",2018-04-24 17:08:04
"178","BeniciaRT_02 ",18008,"FAA2",2018-06-17,1365,"FAA2",2018-04-24 17:08:04
"179","BeniciaRT_02 ",18008,"FAA2",2018-06-18,1375,"FAA2",2018-04-24 17:08:04
"180","BeniciaRT_02 ",18008,"FAA2",2018-06-19,1373,"FAA2",2018-04-24 17:08:04
"181","BeniciaRT_02 ",18008,"FAA2",2018-06-20,1348,"FAA2",2018-04-24 17:08:04
"182","BeniciaRT_02 ",18008,"FAA2",2018-06-21,1383,"FAA2",2018-04-24 17:08:04
